"Year","Quarter","Month","DayofMonth","DayOfWeek","FlightDate","UniqueCarrier","AirlineID","Carrier","TailNum","FlightNum","OriginAirportID","OriginAirportSeqID","OriginCityMarketID","Origin","OriginCityName","OriginState","OriginStateFips","OriginStateName","OriginWac","DestAirportID","DestAirportSeqID","DestCityMarketID","Dest","DestCityName","DestState","DestStateFips","DestStateName","DestWac","CRSDepTime","DepTime","DepDelay","DepDelayMinutes","DepDel15","DepartureDelayGroups","DepTimeBlk","TaxiOut","WheelsOff","WheelsOn","TaxiIn","CRSArrTime","ArrTime","ArrDelay","ArrDelayMinutes","ArrDel15","ArrivalDelayGroups","ArrTimeBlk","Cancelled","CancellationCode","Diverted","CRSElapsedTime","ActualElapsedTime","AirTime","Flights","Distance","DistanceGroup","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay","FirstDepTime","TotalAddGTime","LongestAddGTime","DivAirportLandings","DivReachedDest","DivActualElapsedTime","DivArrDelay","DivDistance","Div1Airport","Div1AirportID","Div1AirportSeqID","Div1WheelsOn","Div1TotalGTime","Div1LongestGTime","Div1WheelsOff","Div1TailNum","Div2Airport","Div2AirportID","Div2AirportSeqID","Div2WheelsOn","Div2TotalGTime","Div2LongestGTime","Div2WheelsOff","Div2TailNum","Div3Airport","Div3AirportID","Div3AirportSeqID","Div3WheelsOn","Div3TotalGTime","Div3LongestGTime","Div3WheelsOff","Div3TailNum","Div4Airport","Div4AirportID","Div4AirportSeqID","Div4WheelsOn","Div4TotalGTime","Div4LongestGTime","Div4WheelsOff","Div4TailNum","Div5Airport","Div5AirportID","Div5AirportSeqID","Div5WheelsOn","Div5TotalGTime","Div5LongestGTime","Div5WheelsOff","Div5TailNum",
2012,1,1,1,7,2012-01-01,"AA",19805,"AA","N325AA","1",12478,1247802,31703,"JFK","New York, NY","NY","36","New York",22,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0900","0855",-5.00,0.00,0.00,-1,"0900-0959",13.00,"0908","1138",4.00,"1225","1142",-43.00,0.00,0.00,-2,"1200-1259",0.00,"",0.00,385.00,347.00,330.00,1.00,2475.00,10,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2012,1,1,2,1,2012-01-02,"AA",19805,"AA","N319AA","1",12478,1247802,31703,"JFK","New York, NY","NY","36","New York",22,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0900","0921",21.00,21.00,1.00,1,"0900-0959",13.00,"0934","1159",11.00,"1225","1210",-15.00,0.00,0.00,-1,"1200-1259",0.00,"",0.00,385.00,349.00,325.00,1.00,2475.00,10,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2012,1,1,3,2,2012-01-03,"AA",19805,"AA","N323AA","1",12478,1247802,31703,"JFK","New York, NY","NY","36","New York",22,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0900","0931",31.00,31.00,1.00,2,"0900-0959",12.00,"0943","1202",22.00,"1225","1224",-1.00,0.00,0.00,-1,"1200-1259",0.00,"",0.00,385.00,353.00,319.00,1.00,2475.00,10,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2012,1,1,4,3,2012-01-04,"AA",19805,"AA","N320AA","1",12478,1247802,31703,"JFK","New York, NY","NY","36","New York",22,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0900","0904",4.00,4.00,0.00,0,"0900-0959",18.00,"0922","1131",20.00,"1225","1151",-34.00,0.00,0.00,-2,"1200-1259",0.00,"",0.00,385.00,347.00,309.00,1.00,2475.00,10,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2012,1,1,5,4,2012-01-05,"AA",19805,"AA","N338AA","1",12478,1247802,31703,"JFK","New York, NY","NY","36","New York",22,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0900","0858",-2.00,0.00,0.00,-1,"0900-0959",16.00,"0914","1120",22.00,"1225","1142",-43.00,0.00,0.00,-2,"1200-1259",0.00,"",0.00,385.00,344.00,306.00,1.00,2475.00,10,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2012,1,1,6,5,2012-01-06,"AA",19805,"AA","N319AA","1",12478,1247802,31703,"JFK","New York, NY","NY","36","New York",22,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0900","0911",11.00,11.00,0.00,0,"0900-0959",14.00,"0925","1146",5.00,"1225","1151",-34.00,0.00,0.00,-2,"1200-1259",0.00,"",0.00,385.00,340.00,321.00,1.00,2475.00,10,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2012,1,1,7,6,2012-01-07,"AA",19805,"AA","N321AA","1",12478,1247802,31703,"JFK","New York, NY","NY","36","New York",22,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0900","0902",2.00,2.00,0.00,0,"0900-0959",20.00,"0922","1159",4.00,"1225","1203",-22.00,0.00,0.00,-2,"1200-1259",0.00,"",0.00,385.00,361.00,337.00,1.00,2475.00,10,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2012,1,1,8,7,2012-01-08,"AA",19805,"AA","N322AA","1",12478,1247802,31703,"JFK","New York, NY","NY","36","New York",22,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0900","0855",-5.00,0.00,0.00,-1,"0900-0959",12.00,"0907","1125",4.00,"1225","1129",-56.00,0.00,0.00,-2,"1200-1259",0.00,"",0.00,385.00,334.00,318.00,1.00,2475.00,10,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2012,1,1,9,1,2012-01-09,"AA",19805,"AA","N335AA","1",12478,1247802,31703,"JFK","New York, NY","NY","36","New York",22,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0900","0858",-2.00,0.00,0.00,-1,"0900-0959",13.00,"0911","1118",9.00,"1225","1127",-58.00,0.00,0.00,-2,"1200-1259",0.00,"",0.00,385.00,329.00,307.00,1.00,2475.00,10,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2012,1,1,10,2,2012-01-10,"AA",19805,"AA","N339AA","1",12478,1247802,31703,"JFK","New York, NY","NY","36","New York",22,12892,1289203,32575,"LAX","Los Angeles, CA","CA","06","California",91,"0900","0852",-8.00,0.00,0.00,-1,"0900-0959",13.00,"0905","1130",4.00,"1225","1134",-51.00,0.00,0.00,-2,"1200-1259",0.00,"",0.00,385.00,342.00,325.00,1.00,2475.00,10,,,,,,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
